run_timestamp_utc,random_state,cv_folds,model,round,MAE_rank,CV_MAE,CV_MAE_std,CV_RMSE,CV_R2,parameters
2026-07-21T08:41:11+00:00,42,5,CatBoost,1,15,0.1670625189939225,0.0030254785969549116,0.216455631694609,0.3459733102008804,"{""depth"": 7, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.09622931347115644, ""random_strength"": 0}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,2,6,0.1665542201383336,0.0028267591302416836,0.21572052811873593,0.3504483964643376,"{""depth"": 5, ""iterations"": 700, ""l2_leaf_reg"": 5, ""learning_rate"": 0.05045461670694084, ""random_strength"": 0}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,3,20,0.16795637245054462,0.0023446419579570936,0.21805163523013288,0.33636725291043956,"{""depth"": 7, ""iterations"": 700, ""l2_leaf_reg"": 10, ""learning_rate"": 0.1411758906434134, ""random_strength"": 0.5}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,4,18,0.167633324937606,0.0023997377789320316,0.21684132931396025,0.3436378888566485,"{""depth"": 5, ""iterations"": 300, ""l2_leaf_reg"": 1, ""learning_rate"": 0.03691990689655602, ""random_strength"": 0.5}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,5,2,0.16596091308695574,0.0026176559538918574,0.2155499019278538,0.3514530082480357,"{""depth"": 8, ""iterations"": 300, ""l2_leaf_reg"": 1, ""learning_rate"": 0.05757579891082564, ""random_strength"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,6,8,0.16669834513517273,0.0031233577057921975,0.21584862007370828,0.34965236604960054,"{""depth"": 5, ""iterations"": 700, ""l2_leaf_reg"": 5, ""learning_rate"": 0.0432222796524301, ""random_strength"": 0}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,7,9,0.16680658468998594,0.003043659706556589,0.21601820911093328,0.3486534452992519,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.07876635888080184, ""random_strength"": 0}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,8,14,0.16705396397554137,0.0025443275478661967,0.21615421989512681,0.34783523785162596,"{""depth"": 5, ""iterations"": 300, ""l2_leaf_reg"": 7, ""learning_rate"": 0.062221674590294686, ""random_strength"": 0.5}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,9,21,0.1680123976566635,0.002795906412247988,0.21718034663011063,0.34158568665067646,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.03184756542192824, ""random_strength"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,10,1,0.16588469844429493,0.0024136045337632417,0.2154483608635136,0.35208549239871434,"{""depth"": 7, ""iterations"": 700, ""l2_leaf_reg"": 7, ""learning_rate"": 0.0542425537773747, ""random_strength"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,11,5,0.1665529496363231,0.0029342640694803037,0.21563585297947507,0.3509333928401131,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 1, ""learning_rate"": 0.03368824084567454, ""random_strength"": 0.5}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,12,11,0.16697361848490305,0.0031510656449948308,0.2166045392955132,0.34508580604832406,"{""depth"": 5, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.14108340900523528, ""random_strength"": 0.5}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,13,19,0.16789565823814728,0.0024072841708203782,0.21832513618173435,0.33474314034657776,"{""depth"": 7, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.12135529978839235, ""random_strength"": 0.5}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,14,12,0.16700570858309155,0.0026041006481627056,0.21617565112522014,0.34769825980659047,"{""depth"": 7, ""iterations"": 300, ""l2_leaf_reg"": 10, ""learning_rate"": 0.04376696541566469, ""random_strength"": 0.5}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,15,4,0.16615184898538582,0.0030893311823868125,0.21571198725852914,0.3505200661180362,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 1, ""learning_rate"": 0.035226127496776595, ""random_strength"": 0}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,16,24,0.16956053744693955,0.0026151417803868676,0.21974395437834932,0.3259101688876985,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 10, ""learning_rate"": 0.02324161892466689, ""random_strength"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,CatBoost,17,23,0.16857060116029207,0.0025218784062271877,0.21815644859150632,0.3356493064188243,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 7, ""learning_rate"": 0.03612851646499623, ""random_strength"": 1.0}"
